Event,Name,Donation Made To,Date,Value
2022 Federal election,"ANDREADIS, JIM","PRIESTLY, Robert Anthony",19/4/2022,20000
2022 Federal election,"ANDREADIS, JIM","PRIESTLY, Robert Anthony",27/4/2022,125
2022 Federal election,"ANDREADIS, JIM","PRIESTLY, Robert Anthony",29/4/2022,30000
2022 Federal election,Andrew Killion,"SPENDER, Allegra May",25/3/2022,25000
2022 Federal election,Anna Josephson Foundation Pty Ltd,"STEGGALL, Zali",6/9/2021,20000
2022 Federal election,Australian Rail Tram and Bus Industry Union,"HART, Ross Anthony",8/11/2021,20000
2022 Federal election,Australian Rail Tram and Bus Industry Union,"MITCHELL, Brian Keith",8/11/2021,20000
2022 Federal election,Australian Rail Tram and Bus Industry Union,"GARLAND, Carina Mary Lindsay",17/12/2021,5000
2022 Federal election,"Badger, Keith and Debby","DANIEL, Zoe",3/11/2021,5000
2022 Federal election,"Badger, Keith and Debby","DANIEL, Zoe",8/12/2021,20000
2022 Federal election,"Badger, Keith and Debby","DANIEL, Zoe",14/4/2022,7103
2022 Federal election,"Badger, Keith and Debby","DANIEL, Zoe",14/4/2022,1500
2022 Federal election,"Badger, Keith and Debby","DANIEL, Zoe",14/4/2022,1500
2022 Federal election,"Barlow, Lisa Jane","RYAN, Monique Marie",4/2/2022,14500
2022 Federal election,Bayside Community Voices,"DANIEL, Zoe",5/11/2021,30000
2022 Federal election,Bayside Community Voices,"DANIEL, Zoe",23/11/2021,10000
2022 Federal election,"Chandler, Katrina","TINK, Kylea Jane",8/10/2021,10000
2022 Federal election,"Chandler, Katrina","TINK, Kylea Jane",30/10/2021,100
2022 Federal election,"Chandler, Katrina","STEGGALL, Zali",5/11/2021,50000
2022 Federal election,"Chandler, Katrina","TINK, Kylea Jane",3/12/2021,20000
2022 Federal election,"Chandler, Katrina","TINK, Kylea Jane",27/1/2022,100
2022 Federal election,"Chaney, Rosemary","CHANEY, Katherine Ella",22/2/2022,11000
2022 Federal election,"Chaney, Rosemary","CHANEY, Katherine Ella",6/5/2022,10000
2022 Federal election,Climate 200 Pty Limited,"SPENDER, Allegra May",2/11/2021,1
2022 Federal election,Climate 200 Pty Limited,"SPENDER, Allegra May",3/11/2021,64999
2022 Federal election,Climate 200 Pty Limited,"DANIEL, Zoe",11/11/2021,1
2022 Federal election,Climate 200 Pty Limited,"DANIEL, Zoe",13/11/2021,49999
2022 Federal election,Climate 200 Pty Limited,"RYAN, Monique Marie",24/11/2021,1
2022 Federal election,Climate 200 Pty Limited,"SCAMPS, Sophie Anna",24/11/2021,1
2022 Federal election,Climate 200 Pty Limited,"RYAN, Monique Marie",25/11/2021,45499
2022 Federal election,Climate 200 Pty Limited,"SCAMPS, Sophie Anna",1/12/2021,50999
2022 Federal election,Climate 200 Pty Limited,"SPENDER, Allegra May",3/12/2021,97797
