Event,Name,Donation Made To,Date,Value
2025 Federal Election,ACY Securities Pty Ltd,"YIN, Andy",18/02/2025,2400
2025 Federal Election,ACY Securities Pty Ltd,"YIN, Andy",1/04/2025,20000
2025 Federal Election,ACY Securities Pty Ltd,"YIN, Andy",14/04/2025,15000
2025 Federal Election,ACY Securities Pty Ltd,"YIN, Andy",1/05/2025,15000
2025 Federal Election,"Allen, Roger","STEGGALL, Zali",5/05/2025,30000
2025 Federal Election,Allira Holdings Pty Ltd,"SPENDER, Allegra May",27/11/2024,20000
2025 Federal Election,"Badger, Keith and Debby","DANIEL, Zoe",20/09/2024,10000
2025 Federal Election,"Badger, Keith and Debby","DANIEL, Zoe",25/02/2025,400
2025 Federal Election,"Badger, Keith and Debby","DANIEL, Zoe",12/03/2025,10000
2025 Federal Election,"Badger, Keith and Debby","DANIEL, Zoe",5/04/2025,3500
2025 Federal Election,"Badger, Keith and Debby","DANIEL, Zoe",3/05/2025,1668
2025 Federal Election,"bell, leonie","HEISE, Carolyn Gai",4/12/2024,20000
2025 Federal Election,"bell, leonie","BOELE, Nicolette",11/12/2024,20000
2025 Federal Election,"bell, leonie","DANIEL, Zoe",23/01/2025,10000
2025 Federal Election,"bell, leonie","SPENDER, Allegra May",23/01/2025,10000
2025 Federal Election,"bell, leonie","CHANEY, Katherine Ella",30/01/2025,10000
2025 Federal Election,"bell, leonie","RYAN, Monique Marie",14/02/2025,10000
2025 Federal Election,"bell, leonie","STEGGALL, Zali",14/02/2025,10000
2025 Federal Election,"bell, leonie","SMITH, Eleanor",19/02/2025,20000
2025 Federal Election,"bell, leonie","SCAMPS, Sophie Anna",23/02/2025,10000
2025 Federal Election,"Briggs, Franklin","RYAN, Monique Marie",7/03/2025,5000
2025 Federal Election,"Briggs, Franklin","RYAN, Monique Marie",23/03/2025,5000
2025 Federal Election,"Briggs, Franklin","RYAN, Monique Marie",24/03/2025,10000
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",3/04/2025,700
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",3/04/2025,735
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",10/04/2025,1716
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",11/04/2025,400
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",11/04/2025,300
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",14/04/2025,200
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",14/04/2025,326
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",14/04/2025,524
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",14/04/2025,328
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",16/04/2025,2612
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",16/04/2025,5417
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",25/04/2025,590
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",26/04/2025,139
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",30/04/2025,19690
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",30/04/2025,1302
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",2/05/2025,1956
2025 Federal Election,"Britton, Sharon","BRITTON, Benjamin John",2/05/2025,300
2025 Federal Election,"Burdett, John","DANIEL, Zoe",19/09/2024,10000
2025 Federal Election,"Burdett, John","DANIEL, Zoe",3/03/2025,50
2025 Federal Election,"Burdett, John","DANIEL, Zoe",17/03/2025,15000
2025 Federal Election,"Burns, Dora","DANIEL, Zoe",12/09/2024,5000
2025 Federal Election,"Burns, Dora","DANIEL, Zoe",6/03/2025,2500
2025 Federal Election,"Burns, Dora","DANIEL, Zoe",9/04/2025,12500
2025 Federal Election,"Burton, Katrina","CHANEY, Katherine Ella",20/09/2024,5000
2025 Federal Election,"Burton, Katrina","CHANEY, Katherine Ella",6/12/2024,7000
2025 Federal Election,"Burton, Katrina","CHANEY, Katherine Ella",5/02/2025,5000
2025 Federal Election,"Catsaras, Nicholas","STEGGALL, Zali",27/05/2025,30000
