Member,Party,Elected
Anthony Albanese,Labor Fed,1996-03-02
Anne Aly,Labor Fed,2016-07-02
Michelle Ananda-Rajah,Labor Fed,2022-05-21
Karen Andrews,Liberal National Fed,2010-11-07
Bridget Archer,Liberal Fed,2019-05-18
Adam Bandt,Greens Fed,2010-11-07
Stephen Bates,Greens Fed,2022-05-21
Angie Bell,Liberal National Fed,2019-05-18
Sam Birrell,National Fed,2022-05-21
Chris Bowen,Labor Fed,2004-10-09
Colin Boyce,Liberal National Fed,2022-05-21
Russell Broadbent,Liberal / Independent Fed,"1990–1993;
1996–1998;
2004-10-09"
Scott Buchholz,Liberal National Fed,2010-11-07
Tony Burke,Labor Fed,2004-10-09
Matt Burnell,Labor Fed,2022-05-21
Linda Burney,Labor Fed,2016-07-02
Josh Burns,Labor Fed,2019-05-18
Mark Butler,Labor Fed,2007-11-24
Alison Byrnes,Labor Fed,2022-05-21
Cameron Caldwell ,Liberal National Fed,2023–current
Jim Chalmers,Labor Fed,2013-09-07
Max Chandler-Mather,Greens Fed,2022-05-21
Kate Chaney,Independent Fed,2022-05-21
Andrew Charlton,Labor Fed,2022-05-21
Darren Chester,National Fed,2008–current
Lisa Chesters,Labor Fed,2013-09-07
Jason Clare,Labor Fed,2007-11-24
Sharon Claydon,Labor Fed,2013-09-07
Libby Coker,Labor Fed,2019-05-18
David Coleman,Liberal Fed,2013-09-07
Julie Collins,Labor Fed,2007-11-24
Pat Conaghan,National Fed,2019-05-18
Pat Conroy,Labor Fed,2013-09-07
Mark Coulton,National Fed,2007-11-24
Zoe Daniel,Independent Fed,2022-05-21
Milton Dick,Labor Fed,2016-07-02
Mary Doyle,Labor Fed,2023–current
Mark Dreyfus,Labor Fed,2007-11-24
Peter Dutton,Liberal National Fed,2001-11-10
Justine Elliot,Labor Fed,2004-10-09
Warren Entsch,Liberal National Fed,"1996–2007;
2010-11-07"
Cassandra Fernando,Labor Fed,2022-05-21
Paul Fletcher,Liberal Fed,2009–current
Mike Freelander,Labor Fed,2016-07-02
Carina Garland,Labor Fed,2022-05-21
Andrew Gee,National / Independent Fed,2016-07-02
Steve Georganas,Labor Fed,"2004–2013;
2016-07-02"
Andrew Giles,Labor Fed,2013-09-07
David Gillespie,National Fed,2013-09-07
Ian Goodenough,Liberal Fed,2013-09-07
Patrick Gorman,Labor Fed,2018–current
Luke Gosling,Labor Fed,2016-07-02
Helen Haines,Independent Fed,2019-05-18
Garth Hamilton ,Liberal National Fed,2020–current
Andrew Hastie,Liberal Fed,2015–current
Alex Hawke,Liberal Fed,2007-11-24
Julian Hill,Labor Fed,2016-07-02
Kevin Hogan,National Fed,2013-09-07
Luke Howarth,Liberal National Fed,2013-09-07
Ed Husic,Labor Fed,2010-11-07
Stephen Jones,Labor Fed,2010-11-07
Barnaby Joyce,National Fed,"2013–2017;
2017–current"
Bob Katter,Katter's Australian Fed,1993-13-03
Ged Kearney,Labor Fed,2018–current
Matt Keogh,Labor Fed,2016-07-02
Peter Khalil,Labor Fed,2016-07-02
Catherine King,Labor Fed,2001-11-10
Madeleine King,Labor Fed,2016-07-02
Michelle Landry,Liberal National Fed,2013-09-07
Tania Lawrence,Labor Fed,2022-05-21
Jerome Laxale,Labor Fed,2022-05-21
Dai Le,Independent Fed,2022-05-21
Julian Leeser,Liberal Fed,2016-07-02
Andrew Leigh,Labor Fed,2010-11-07
Sussan Ley,Liberal Fed,2001-11-10
Sam Lim,Labor Fed,2022-05-21
David Littleproud,Liberal National Fed,2016-07-02
Nola Marino,Liberal Fed,2007-11-24
Richard Marles,Labor Fed,2007-11-24
Zaneta Mascarenhas,Labor Fed,2022-05-21
Kristy McBain ,Labor Fed,2020–current
Emma McBride,Labor Fed,2016-07-02
Michael McCormack,National Fed,2010-11-07
Melissa McIntosh,Liberal Fed,2019-05-18
Zoe McKenzie,Liberal Fed,2022-05-21
Louise Miller-Frost,Labor Fed,2022-05-21
Brian Mitchell,Labor Fed,2016-07-02
Rob Mitchell,Labor Fed,2010-11-07
Scott Morrison,Liberal Fed,2007–2024
Daniel Mulino,Labor Fed,2019-05-18
Peta Murphy,Labor Fed,2019–2023
Shayne Neumann,Labor Fed,2007-11-24
Llew O'Brien,Liberal National Fed,2016-07-02
Ted O'Brien,Liberal National Fed,2016-07-02
Brendan O'Connor,Labor Fed,2001-11-10
Clare O'Neil,Labor Fed,2013-09-07
Tony Pasin,Liberal Fed,2013-09-07
Alicia Payne,Labor Fed,2019-05-18
Gavin Pearce,Liberal Fed,2019-05-18
Graham Perrett,Labor Fed,2007-11-24
Fiona Phillips,Labor Fed,2019-05-18
Henry Pike,Liberal National Fed,2022-05-21
Keith Pitt,Liberal National Fed,2013-09-07
Tanya Plibersek,Labor Fed,1988-03-10
Melissa Price,Liberal Fed,2013-09-07
Sam Rae,Labor Fed,2022-05-21
Rowan Ramsey,Liberal Fed,2007-11-24
Gordon Reid,Labor Fed,2022-05-21
Daniel Repacholi,Labor Fed,2022-05-21
Amanda Rishworth,Labor Fed,2007-11-24
Stuart Robert ,Liberal National Fed,2007–2023
Tracey Roberts,Labor Fed,2022-05-21
Michelle Rowland,Labor Fed,2010-11-07
Joanne Ryan,Labor Fed,2013-09-07
Monique Ryan,Independent Fed,2022-05-21
Sophie Scamps,Independent Fed,2022-05-21
Marion Scrymgour,Labor Fed,2022-05-21
Rebekha Sharkie,Centre Alliance Fed,"2016–2018;
2018–current"
Sally Sitou,Labor Fed,2022-05-21
Allegra Spender,Independent Fed,2022-05-21
Bill Shorten,Labor Fed,2007-11-24
David Smith,Labor Fed,2019-05-18
Anne Stanley,Labor Fed,2016-07-02
Zali Steggall,Independent Fed,2019-05-18
James Stevens,Liberal Fed,2019-05-18
Michael Sukkar,Liberal Fed,2013-09-07
Meryl Swanson,Labor Fed,2016-07-02
Angus Taylor,Liberal Fed,2013-09-07
Dan Tehan,Liberal Fed,2010-11-07
Susan Templeman,Labor Fed,2016-07-02
Matt Thistlethwaite,Labor Fed,2013-09-07
Phillip Thompson,Liberal National Fed,2019-05-18
Kate Thwaites,Labor Fed,2019-05-18
Kylea Tink,Independent Fed,2022-05-21
Alan Tudge ,Liberal Fed,2010–2023
Maria Vamvakinou,Labor Fed,2001-11-10
Bert van Manen,Liberal National Fed,2010-11-07
Ross Vasta,Liberal National Fed,"2004–2007;
2010-11-07"
Aaron Violi,Liberal Fed,2022-05-21
Andrew Wallace,Liberal National Fed,2016-07-02
Jenny Ware,Liberal Fed,2022-05-21
Elizabeth Watson-Brown,Greens Fed,2022-05-21
Tim Watts,Labor Fed,2013-09-07
Anne Webster,National Fed,2019-05-18
Anika Wells,Labor Fed,2019-05-18
Andrew Willcox ,Liberal National Fed,2022-05-21
Andrew Wilkie,Independent Fed,2010-11-07
Josh Wilson,Labor Fed,"2016–2018;
2018–current"
Rick Wilson,Liberal Fed,2013-09-07
Keith Wolahan,Liberal Fed,2022-05-21
Jason Wood,Liberal Fed,"2004–2010;
2013-09-07"
Terry Young,Liberal National Fed,2019-05-18
Tony Zappia,Labor Fed,2007-11-24
