group,member_group,start_date,end_date,evidence
Australian Energy Producers, Matrix Composites & Engineering, , ,https://energyproducers.au/members/
Australian Energy Producers, McDermott, , ,https://energyproducers.au/members/
Australian Energy Producers, Mckinsey & Company, , ,https://energyproducers.au/members/
Australian Energy Producers, Melbana Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Mineral Resources Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, Minterellison, , ,https://energyproducers.au/members/
Australian Energy Producers, Mitsubishi Australia, , ,https://energyproducers.au/members/
Australian Energy Producers, Mitsui E&P Australia Pty Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, Next Compression, , ,https://energyproducers.au/members/
Australian Energy Producers, Nitschke Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Origin Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Patch Personnel, , ,https://energyproducers.au/members/
Australian Energy Producers, PERONI POMPE, , ,https://energyproducers.au/members/
Australian Energy Producers, Petrofac, , ,https://energyproducers.au/members/
Australian Energy Producers, PESA, , ,https://energyproducers.au/members/
Australian Energy Producers, Powered Australia, , ,https://energyproducers.au/members/
Australian Energy Producers, Practical Risk Management, , ,https://energyproducers.au/members/
Australian Energy Producers, PricewaterhouseCoopers, , ,https://energyproducers.au/members/
Australian Energy Producers, Programmed Skilled Workforce Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, Qtec, , ,https://energyproducers.au/members/
Australian Energy Producers, R & D Solutions, , ,https://energyproducers.au/members/
Australian Energy Producers, Red Sky Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, RISC, , ,https://energyproducers.au/members/
Australian Energy Producers, Rock Flow Dynamics, , ,https://energyproducers.au/members/
Australian Energy Producers, Rowe Advisory, , ,https://energyproducers.au/members/
Australian Energy Producers, RSM Australia Pty Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, Rystad Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Santos Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, Sapura Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Senex Energy Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, Shearwater, , ,https://energyproducers.au/members/
Australian Energy Producers, Shell Australia Pty Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, SLB Solutions, , ,https://energyproducers.au/members/
Australian Energy Producers, South Australian Chamber of Mines and Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Speedcast, , ,https://energyproducers.au/members/
Australian Energy Producers, Strike Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Subsea7, , ,https://energyproducers.au/members/
Australian Energy Producers, Sumitom Corporation, , ,https://energyproducers.au/members/
Australian Energy Producers, Technic Energies, , ,https://energyproducers.au/members/
Australian Energy Producers, TAM International, , ,https://energyproducers.au/members/
Australian Energy Producers, Tamboran Resources Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, Terrex Seismic, , ,https://energyproducers.au/members/
Australian Energy Producers, The Deering Group, , ,https://energyproducers.au/members/
Australian Energy Producers, Three Plus, , ,https://energyproducers.au/members/
Australian Energy Producers, Toowoomba and Surat Basin Enterprise, , ,https://energyproducers.au/members/
Australian Energy Producers, Top End Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Totum Compliance, , ,https://energyproducers.au/members/
Australian Energy Producers, Tremco Pipeline Equipment, , ,https://energyproducers.au/members/
Australian Energy Producers, Tri-Star Group, , ,https://energyproducers.au/members/
Australian Energy Producers, Twenty50 Consultancy Services, , ,https://energyproducers.au/members/
Australian Energy Producers, Ventia, , ,https://energyproducers.au/members/
Australian Energy Producers, Verbrec, , ,https://energyproducers.au/members/
Australian Energy Producers, Veritas, , ,https://energyproducers.au/members/
Australian Energy Producers, Vermilion Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Vintage Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Warrego Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Westside Corporation, , ,https://energyproducers.au/members/
Australian Energy Producers, Wood PLC, , ,https://energyproducers.au/members/
Australian Energy Producers, Wood Mackenzie, , ,https://energyproducers.au/members/
Australian Energy Producers, Woodside Energy Group Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, Workforce Abundance, , ,https://energyproducers.au/members/
Australian Energy Producers, Worley Services Pty Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, Xodus, , ,https://energyproducers.au/members/
Australian Energy Producers, Yokogawa, , ,https://energyproducers.au/members/
Australian Energy Producers, 3D Energi Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, A S Harrison & Co Pty Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, ABB Australia, , ,https://energyproducers.au/members/
Australian Energy Producers, Advent Energy Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, ADZ Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Altrad Group, , ,https://energyproducers.au/members/
Australian Energy Producers, ANZ Banking Group Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, Arrow Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, AJ Gallagher, , ,https://energyproducers.au/members/
Australian Energy Producers, Atteris, , ,https://energyproducers.au/members/
Australian Energy Producers, Australia Pacific LNG, , ,https://energyproducers.au/members/
Australian Energy Producers, Baker Hughes, , ,https://energyproducers.au/members/
Australian Energy Producers, BDO Group Holdings Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, Beach Energy Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, Blue Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, BP Australia, , ,https://energyproducers.au/members/
Australian Energy Producers, New Hope Corporation, , ,https://energyproducers.au/members/
Australian Energy Producers, Bureau Veritas, , ,https://energyproducers.au/members/
Australian Energy Producers, Buru Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, CalEnergy Resources Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, Canex Resources, , ,https://energyproducers.au/members/
Australian Energy Producers, Carbon Transition Pathways Pty Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, CareFlight, , ,https://energyproducers.au/members/
Australian Energy Producers, Central Petroleum, , ,https://energyproducers.au/members/
Australian Energy Producers, ChampionX, , ,https://energyproducers.au/members/
Australian Energy Producers, Chevron Australia Pty Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, Clayton Utz, , ,https://energyproducers.au/members/
Australian Energy Producers, Clough Group, , ,https://energyproducers.au/members/
Australian Energy Producers, Comet Ridge Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, Conocophillips Australia Pty Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, Contract Resources, , ,https://energyproducers.au/members/
Australian Energy Producers, Cooper Energy Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, CO2CRC, , ,https://energyproducers.au/members/
Australian Energy Producers, CST Hire, , ,https://energyproducers.au/members/
Australian Energy Producers, Cue Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Curtin University, , ,https://energyproducers.au/members/
Australian Energy Producers, CV Services Group, , ,https://energyproducers.au/members/
Australian Energy Producers, Formenta Partners, , ,https://energyproducers.au/members/
Australian Energy Producers, Deloitte Touche Tohmatsu, , ,https://energyproducers.au/members/
Australian Energy Producers, Denison Gas, , ,https://energyproducers.au/members/
Australian Energy Producers, DownUnder GeoSolutions, , ,https://energyproducers.au/members/
Australian Energy Producers, DSS Consulting, , ,https://energyproducers.au/members/
Australian Energy Producers, EHS Support, , ,https://energyproducers.au/members/
Australian Energy Producers, EIG Partners, , ,https://energyproducers.au/members/
Australian Energy Producers, Elixir Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Emporer Energy Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, Empire Energy Group Limited, , ,https://energyproducers.au/members/
Australian Energy Producers, Enerflex, , ,https://energyproducers.au/members/
Australian Energy Producers, Energy Resources Aotearoa, , ,https://energyproducers.au/members/
Australian Energy Producers, Energy Quest, , ,https://energyproducers.au/members/
Australian Energy Producers, Enermech, , ,https://energyproducers.au/members/
Australian Energy Producers, ENI, , ,https://energyproducers.au/members/
Australian Energy Producers, Enscope, , ,https://energyproducers.au/members/
Australian Energy Producers, Ensign Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, EOG Resources, , ,https://energyproducers.au/members/
Australian Energy Producers, Equinox Engineering Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, ERGT, , ,https://energyproducers.au/members/
Australian Energy Producers, Ernst & Young, , ,https://energyproducers.au/members/
Australian Energy Producers, Expro, , ,https://energyproducers.au/members/
Australian Energy Producers, Exxonmobil Australia, , ,https://energyproducers.au/members/
Australian Energy Producers, Freshwater Strategy, , ,https://energyproducers.au/members/
Australian Energy Producers, Fugro, , ,https://energyproducers.au/members/
Australian Energy Producers, Galilee Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, GB Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, GR Production Services, , ,https://energyproducers.au/members/
Australian Energy Producers, Halliburton, , ,https://energyproducers.au/members/
Australian Energy Producers, Hancock Prospecting Pty Ltd, , ,https://energyproducers.au/members/
Australian Energy Producers, Herbert Smith Freehills, , ,https://energyproducers.au/members/
Australian Energy Producers, Inpex, , ,https://energyproducers.au/members/
Australian Energy Producers, Intertek, , ,https://energyproducers.au/members/
Australian Energy Producers, Interwell, , ,https://energyproducers.au/members/
Australian Energy Producers, IOR, , ,https://energyproducers.au/members/
Australian Energy Producers, IPI Packers, , ,https://energyproducers.au/members/
Australian Energy Producers, Jadestone Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Jemena, , ,https://energyproducers.au/members/
Australian Energy Producers, JERA, , ,https://energyproducers.au/members/
Australian Energy Producers, Jonah Group, , ,https://energyproducers.au/members/
Australian Energy Producers, Kaefer Australia, , ,https://energyproducers.au/members/
Australian Energy Producers, KBR Australia, , ,https://energyproducers.au/members/
Australian Energy Producers, KPMG Australia, , ,https://energyproducers.au/members/
Australian Energy Producers, Kuwait Foreign Petroleum Exploration Company, , ,https://energyproducers.au/members/
Australian Energy Producers, Labrador, , ,https://energyproducers.au/members/
Australian Energy Producers, Lidiar Group, , ,https://energyproducers.au/members/
Australian Energy Producers, Lochard Energy, , ,https://energyproducers.au/members/
Australian Energy Producers, Low Emission Technology Australia, , ,https://energyproducers.au/members/
