name,party,ministry
Emma Hurst,Animal Justice Party,
Michael Daley,Australian Labor Party NSW,NSW Attorney General
Prue Car,Australian Labor Party NSW,"Deputy Premier, Minister for Education and Early Learning, Minister for Western Sydney"
David Harris,Australian Labor Party NSW,"Minister for Aboriginal Affairs and Treaty, Minister for Gaming and Racing, Minister for Veterans, Minister for Medical Research, Minister for the Central Coast"
Tara Moriarty,Australian Labor Party NSW,"Minister for Agriculture, Minister for Regional New South Wales, Minister for Western New South Wales"
Anoulack Chanthivong,Australian Labor Party NSW,"Minister for Better Regulation and Fair Trading, Minister for Industry and Trade, Minister for Innovation, Science and Technology, Minister for Building, Minister for Corrections"
Penny Sharpe,Australian Labor Party NSW,"Minister for Climate Change, Minister for Energy, Minister for the Environment, Minister for Heritage"
Jihad Dib,Australian Labor Party NSW,"Minister for Customer Service and Digital Government, Minister for Emergency Services, Minister for Youth Justice"
Kate Washington,Australian Labor Party NSW,"Minister for Families and Communities, Minister for Disability Inclusion"
Courtney Houssos,Australian Labor Party NSW,"Minister for Finance, Minister for Domestic Manufacturing and Government Procurement, Minister for Natural Resources"
Ryan Park,Australian Labor Party NSW,"Minister for Health, Minister for Regional Health, Minister for the Illawarra and the South Coast"
Sophie Cotsis,Australian Labor Party NSW,"Minister for Industrial Relations, Minister for Work Health and Safety"
Ron Hoenig,Australian Labor Party NSW,Minister for Local Government
Paul Scully,Australian Labor Party NSW,Minister for Planning and Public Spaces
Yasmin Catley,Australian Labor Party NSW,"Minister for Police and Counter-terrorism, Minister for the Hunter"
Jenny Aitchison,Australian Labor Party NSW,Minister for Regional Transport and Roads
Steve Whan,Australian Labor Party NSW,"Minister for Skills, TAFE and Tertiary Education"
Stephen Kamper,Australian Labor Party NSW,"Minister for Small Business, Minister for Lands and Property, Minister for Multiculturalism, Minister for Sport"
Rose Jackson,Australian Labor Party NSW,"Minister for Water, Minister for Housing, Minister for Homelessness, Minister for Mental Health, Minister for Youth, Minister for the North Coast"
Jodie Harrison,Australian Labor Party NSW,"Minister for Women, Minister for Seniors, Minister for the Prevention of Domestic Violence and Sexual Assault"
Chris Minns,Australian Labor Party NSW,NSW Premier
John Graham,Australian Labor Party NSW,"Special Minister of State, Minister for Transport, Minister for Roads, Minister for the Arts, Minister for Music and the Night-time Economy, Minister for Jobs and Tourism"
Daniel Mookhey,Australian Labor Party NSW,NSW Treasurer
Edmond Atalla,Australian Labor Party NSW,
Stephen Bali,Australian Labor Party NSW,
Clayton Barr,Australian Labor Party NSW,
Liza Butler,Australian Labor Party NSW,
Mark Buttigieg,Australian Labor Party NSW,
Tim Crakanthorp,Australian Labor Party NSW,
Anthony D'Adam,Australian Labor Party NSW,
Donna Davis,Australian Labor Party NSW,
Greg Donnelly,Australian Labor Party NSW,
Trish Doyle,Australian Labor Party NSW,
Julia Finn,Australian Labor Party NSW,
Nathan Hagarty,Australian Labor Party NSW,
Jo Haylen,Australian Labor Party NSW,
Michael Holland,Australian Labor Party NSW,
Sonia Hornery,Australian Labor Party NSW,
Sarah Kaine,Australian Labor Party NSW,
Charishma Kaliyanda,Australian Labor Party NSW,
Warren Kirby,Australian Labor Party NSW,
Stephen Lawrence,Australian Labor Party NSW,
Jason Li,Australian Labor Party NSW,
Hugh McDermott,Australian Labor Party NSW,
Karen McKeown,Australian Labor Party NSW,
David Mehan,Australian Labor Party NSW,
Cameron Murphy,Australian Labor Party NSW,
Bob Nanva,Australian Labor Party NSW,
Marjorie O'Neill,Australian Labor Party NSW,
Peter Primrose,Australian Labor Party NSW,
Sally Quinnell,Australian Labor Party NSW,
Janelle Saffin,Australian Labor Party NSW,
David Saliba,Australian Labor Party NSW,
Maryanne Stuart,Australian Labor Party NSW,
Emily Suvaal,Australian Labor Party NSW,
Liesl Tesch,Australian Labor Party NSW,
Tri Vo,Australian Labor Party NSW,
Lynda Voltz,Australian Labor Party NSW,
Greg Warren,Australian Labor Party NSW,
Anna Watson,Australian Labor Party NSW,
Kylie Wilkinson,Australian Labor Party NSW,
"Faruqi, Dr Mehreen",The Greens NSW,
"Rhiannon, Ms Lee",The Greens NSW,
"Arena, Mrs Franca",Australian Labor Party NSW,
"Brereton, Laurie",Australian Labor Party NSW,
"Carr, Bob",Australian Labor Party NSW,NSW Premier
"Costa, Mr Michael",Australian Labor Party NSW,
"Della Bosca, The Hon. John Joseph",Australian Labor Party NSW,
"Ferguson, Mr Laurie Donald Thomas",Australian Labor Party NSW,
"Foley, Mr Luke Aquinas",Australian Labor Party NSW,
"Iemma, The Hon. Morris",Australian Labor Party NSW,NSW Premier
"Keneally, The Hon. Kristina Kerscher",Australian Labor Party NSW,NSW Premier
"Meagher, The Hon. Reba Paige",Australian Labor Party NSW,
"Obeid, Eddie",Australian Labor Party NSW,
"Orkopoulos, Mr Milton",Australian Labor Party NSW,
"Rees, The Hon. Nathan",Australian Labor Party NSW,NSW Premier
"Refshauge, The Hon. Dr Andrew John",Australian Labor Party NSW,
"Roozendaal, The Hon. Eric Michael",Australian Labor Party NSW,
"Scully, The Hon. Patrick Carl",Australian Labor Party NSW,
"Unsworth, The Hon. Barrie John",Australian Labor Party NSW,NSW Premier
"Watkins, The Hon. John Arthur",Australian Labor Party NSW,
Jeremy Buckingham,Legalise Cannabis Party,
"Chikarovski, Mrs Kerry Anne",Liberal Party NSW,
"Collins, The Hon. Peter Edward James",Liberal Party NSW,
"Constance, The Hon. Andrew James",Liberal Party NSW,
"Greiner, Nick",Liberal Party NSW,NSW Premier
"Kean, The Hon. Matthew John",Liberal Party NSW,NSW Treasurer
"Metherell, Mr Terry Alan",Liberal Party NSW,
"O'Farrell, The Hon. Barry Robert",Liberal Party NSW,NSW Premier
"Perrottet, The Hon. Dominic Francis",Liberal Party NSW,NSW Premier
Tina Ayyad,Liberal Party NSW,
Susan Carter,Liberal Party NSW,
Justin Clancy,Liberal Party NSW,
Mark Coure,Liberal Party NSW,
Matt Cross,Liberal Party NSW,
Adam Crouch,Liberal Party NSW,
Tanya Davies,Liberal Party NSW,
Stephanie Di Pasqua,Liberal Party NSW,
Scott Farlow,Liberal Party NSW,
James Griffin,Liberal Party NSW,
Alister Henskens,Liberal Party NSW,
Mark Hodges,Liberal Party NSW,
Tim James,Liberal Party NSW,
Jordan Lane,Liberal Party NSW,
Aileen MacDonald,Liberal Party NSW,
Natasha Maclaren-Jones,Liberal Party NSW,
Rachel Merton,Liberal Party NSW,
Jacqui Munro,Liberal Party NSW,
Eleni Petinos,Liberal Party NSW,
Robyn Preston,Liberal Party NSW,
Chris Rath,Liberal Party NSW,
Anthony Roberts,Liberal Party NSW,
Kellie Sloane,Liberal Party NSW,
Mark Speakman,Liberal Party NSW,
Mark Taylor,Liberal Party NSW,
Wendy Tuckerman,Liberal Party NSW,
Damien Tudehope,Liberal Party NSW,
Monica Tudehope,Liberal Party NSW,
James Wallace,Liberal Party NSW,
Natalie Ward,Liberal Party NSW,
Ray Williams,Liberal Party NSW,
Felicity Wilson,Liberal Party NSW,
"Ajaka, Mr John George",Liberal Party NSW,
"Baird, Mike",Liberal Party NSW,NSW Premier
"Baird, Mr Bruce George",Liberal Party NSW,
"Berejiklian, Ms Gladys",Liberal Party NSW,NSW Premier
"Brogden, Mr John Gilbert",Liberal Party NSW,
John Ruddick,Libertarian Party,
Mark Banasiak,"Shooters, Fishers and Farmers Party",
Robert Borsak,"Shooters, Fishers and Farmers Party",
Abigail Boyd,The Greens NSW,
