giver,taker,effective_date,transfer_type,amount,evidence
Australian Federal Government,Guide Dogs Victoria,19/4/2019,grant,2500000,https://parlinfo.aph.gov.au/parlInfo/download/media/pressrel/7303441/upload_binary/7303441.pdf;fileType=application/pdf#search=%22media/pressrel/7303441%22
Australian Federal Government,QRX Group 1,21/5/2018,grant,2415400,https://www.9news.com.au/national/no-conflict-for-lib-staffer-with-grants/1b655e26-39ac-42e8-ad2c-95380e945a29#:~:text=A%20separate%20committee%20decided%20on,%245%20million%20pharmacy%20distribution%20facility
Australian Federal Government,Great Barrier Reef Foundation,1/4/2018,grant,443000000,https://www.barrierreef.org/uploads/2018-Year-in-Review-straight-format.pdf
Active Super, Karen McKeown, 30/6/2022, Directors Fees, 111000, https://www.smh.com.au/national/nsw/the-mp-with-four-jobs-and-the-multimillion-dollar-property-development-20240613-p5jlib.html
Active Super, Karen McKeown, 30/6/2023, Fees and Benefits, 127251, https://www.smh.com.au/national/nsw/mps-pocketed-200-000-working-for-disgraced-super-fund-20240612-p5jl4y.html
Active Super, Nathan Hagarty, 30/6/2023, Fees and Benefits, 90893, https://www.smh.com.au/national/nsw/mps-pocketed-200-000-working-for-disgraced-super-fund-20240612-p5jl4y.html
Active Super, Declan Clausen, 30/6/2023, Fees and Benefits, 98707, https://www.smh.com.au/national/nsw/mps-pocketed-200-000-working-for-disgraced-super-fund-20240612-p5jl4y.html
Active Super, Greg McLean, 30/6/2023, Fees and Benefits, 82256, https://www.smh.com.au/national/nsw/mps-pocketed-200-000-working-for-disgraced-super-fund-20240612-p5jl4y.html
Local Government NSW, Karen McKeown, 30/6/2022, Directors Fees, 12000, https://www.smh.com.au/national/nsw/the-mp-with-four-jobs-and-the-multimillion-dollar-property-development-20240613-p5jlib.html
Landbridge Group, Andrew Robb, 30/6/2017, Consulting Fees, 880000, https://www.abc.net.au/news/2017-06-07/andrew-robb-china-consultancy-role-billionaire-scott-ryan/8596854
