name	date published	abn	client of
Business News Pty Ltd	12 April 2019		Coode Holdings Pty Ltd | 81 623 654 839
Ernst and Young	7 March 2023	75 288 172 749	Judy Anderson Advisory | 36 653 322 399
COMMUNICATIONS ELECTRICAL ELECTRONIC ENERGY INFORMATION POSTAL AND ALLIED SERVICES UNION OF AUSTRALIA ELECTRICAL DIVISION NSW BRANCH	15 July 2021	46 878 660 276	Essential Media Communications | 48 074 671 462
G8 EDUCATION LIMITED	31 October 2023	95 123 828 553	SEC Newgate Pty Limited | 38 162 366 056
Genesis Specialist Care Pty Ltd	16 May 2022	51 111 943 161	Nexus APAC Pty Ltd | 76 615 655 699
LIFELINE INTERNATIONAL INCORPORATED	31 March 2023	12 639 930 206	Jo Scard Pty Ltd | 29 145 634 224
Pilbara Iron Company (Services) Pty Ltd	22 April 2021	35 107 210 248	CGM Communications Pty Ltd | 66 619 642 858
TYRESMART AUSTRALIA PTY LTD	11 July 2013	51 146 548 003	PRX Unit Trust | 71 595 434 578
VICTORIAN TRANSPORT ASSOCIATION INC.	10 July 2015	95 922 065 177	PRX Unit Trust | 71 595 434 578
29METALS LIMITED	7 February 2024	95 650 096 094	Govstrat Pty Ltd | 64 964 952 044
3M Australia Pty Ltd	9 April 2024	90 000 100 096	Premier State Consulting Pty Ltd | 26 149 964 189
3M Australia Pty Ltd	9 April 2024	90 000 100 096	PremierNational Pty Ltd | 71 619 450 841
5Rs Partnership	4 August 2020		Barry Wallett | 94 983 487 603
A Better Future Fund	1 November 2023	85 624 329 960	The Influence Corporation Pty. Ltd. | 79 671 703 156
A&C Culture Group	20 March 2024	76 675 015 611	PYNE AND PARTNERS PTY LTD | 81 634 747 363
A&C CULTURE Group	21 February 2024		Hawker Britton Group Pty Ltd | 79 109 681 405
A. Menarini Australia Pty Ltd	6 July 2023	62 116 935 758	TJ Health Comms | 64 705 249 956
AA Holdings Pty Ltd	13 September 2022	94 112 233 744	RedBridge Group Pty Ltd | 11 650 587 867
Abbott	18 March 2019		London Agency Pty Ltd | 73 145 352 147
ABBOTT MEDICAL AUSTRALIA PTY LTD.	7 February 2024	73 080 212 746	Precision Public Affairs Pty Ltd | 42 639 299 415
AbbVie	15 March 2024	48 156 384 262	Principle Advisory Pty Ltd | 29 657 059 848
AbbVie Australia	15 January 2019	48 156 384 262	OGILVY HEALTH PTY LTD | 62 114 807 877
Abel Energy	21 August 2023	12 640 400 399	A.GR Advisors Pty Ltd | 56 665 229 112
ABEL Energy	2 February 2023		Bartholomew Quinn and Associates Pty Ltd | 97 009 584 105
Abey Australia Pty Ltd	10 July 2024	34 004 589 879	John O'Connor and Associates Pty Ltd | 39 098 650 241
Ability First Australia	17 August 2018		TSB Advisory Pty Ltd | 90 604 408 826
Ability First Australia	3 July 2023	33 103 184 550	Lady & Professor Pty Ltd | 16 642 238 702
Ability8 Pty Ltd	2 February 2024	46 609 683 392	Anacta Strategies Pty Ltd | 64 633 978 677
Aboriginal Biodiversity Conservation (ABC) Foundation	6 June 2022	19 612 097 864	Hawker Britton Group Pty Ltd | 79 109 681 405
Aboriginal Legal Service (NSW/ACT) Limited	28 August 2024	93 118 431 066	Essential Media Communications | 48 074 671 462
Accenture Australia Pty Ltd	16 October 2023	49 096 776 895	CMAX Communications Pty Ltd | 73 130 740 546
Acciona	27 January 2023	59 114 553 454	Richardson Coutts Pty Ltd | 82 378 912 405
Accolade Wines	27 February 2024	86 008 273 907	SEC Newgate Pty Limited | 38 162 366 056
ACEN AUSTRALIA PTY LTD	21 May 2024	27 616 856 672	Counsel House Pty Ltd | 35 631 919 009
ACFIN PTY LTD	29 October 2024	78 626 887 563	SANLAAN PTY LTD | 21 131 482 230
Achieve Australia	4 April 2022	49 133 306 902	Lady & Professor Pty Ltd | 16 642 238 702
ACOR CONSULTANTS PTY LTD	9 July 2024	40 079 306 246	PATON, ALEXANDER WILLIAM | 26 764 474 411
Acumentis Pty Ltd	21 May 2021	30 109 670 671	National Advisory Pty Ltd | 29 634 573 363
Adams Aus Bidco Pty Ltd	12 April 2024	50 637 090 996	Anacta Strategies Pty Ltd | 64 633 978 677
Adbri Limited	17 February 2023	15 007 596 018	GRACosway Pty Ltd | 50 082 123 822
Adecco Australia	19 April 2023	91 006 253 336	Making The World A Better Place Pty Ltd | 13 075 789 196
Adecco Australia Pty Ltd	31 October 2024	91 006 253 336	Northstar Public Affairs Pty Ltd | 25 638 744 046
ADELAIDE FRINGE INC	4 December 2023	71 660 859 461	Hawker Britton Group Pty Ltd | 79 109 681 405
Adjudicate Today	9 July 2020		Megan Anwyl | 13 159 060 561
Adobe Systems Pty Ltd	29 June 2017	72 054 247 835	Christmas Jalili Pty Ltd | 26 614 088 881
Advanced Algal Technologies Limited	19 February 2014		Cornerstone Group Australia Pty Ltd | 99 153 936 719
Advanced Navigation Pty Ltd	11 January 2024	49 156 101 549	Colbourne Advisory Pty Ltd | 83 665 601 892
Advanced New Technologies (Singapore) Holding Pte. Ltd.	6 September 2024		GRACosway Pty Ltd | 50 082 123 822
Advertising Council Australia	22 November 2023	84 140 893 152	The Trustee for Arthur Trust | 63 272 133 108
AEGIS9 Pty Ltd	6 July 2023	35 614 124 097	Simplicity One Pty Ltd | 38 640 087 494
AEGIS9 Pty Ltd	29 November 2022	35 614 124 097	BDAAS Consulting Pty Ltd | 62 164 001 969
Aegros	1 May 2023	92 618 589 101	The Civic Partnership Pty Ltd | 71 652 574 171
Aeon Industrial Inc.	14 March 2024		Capital Integrity Group Pty Ltd | 99 649 180 898
AERO DEFENCE PTY LTD	2 September 2024	42 129 351 220	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Afford – The Australian Foundation for Disability	15 March 2022	99 000 112 729	Wilkinson Butler Pty Ltd | 95 164 204 111
Afterpay Australia Pty Ltd	9 April 2024	15 169 342 947	Brockwell Strategy Pty Ltd | 85 675 736 259
Afterpay Pty Ltd	2 February 2022		Jannette Cotterell | 51 364 113 263
