member_group,group,start_date,evidence
Business News Pty Ltd,Coode Holdings Pty Ltd,2019-04-12,https://lobbyists.ag.gov.au/register
Ernst and Young,Judy Anderson Advisory,2023-03-07,https://lobbyists.ag.gov.au/register
COMMUNICATIONS ELECTRICAL ELECTRONIC ENERGY INFORMATION POSTAL AND ALLIED SERVICES UNION OF AUSTRALIA ELECTRICAL DIVISION NSW BRANCH,Essential Media Communications,2021-07-15,https://lobbyists.ag.gov.au/register
G8 EDUCATION LIMITED,SEC Newgate Pty Limited,2023-10-31,https://lobbyists.ag.gov.au/register
Genesis Specialist Care Pty Ltd,Nexus APAC Pty Ltd,2022-05-16,https://lobbyists.ag.gov.au/register
LIFELINE INTERNATIONAL INCORPORATED,Jo Scard Pty Ltd,2023-03-31,https://lobbyists.ag.gov.au/register
Pilbara Iron Company (Services) Pty Ltd,CGM Communications Pty Ltd,2021-04-22,https://lobbyists.ag.gov.au/register
TYRESMART AUSTRALIA PTY LTD,PRX Unit Trust,2013-07-11,https://lobbyists.ag.gov.au/register
VICTORIAN TRANSPORT ASSOCIATION INC.,PRX Unit Trust,2015-07-10,https://lobbyists.ag.gov.au/register
29METALS LIMITED,Govstrat Pty Ltd,2024-02-07,https://lobbyists.ag.gov.au/register
3M Australia Pty Ltd,Premier State Consulting Pty Ltd,2024-04-09,https://lobbyists.ag.gov.au/register
3M Australia Pty Ltd,PremierNational Pty Ltd,2024-04-09,https://lobbyists.ag.gov.au/register
5Rs Partnership,Barry Wallett,2020-08-04,https://lobbyists.ag.gov.au/register
A Better Future Fund,The Influence Corporation Pty. Ltd.,2023-11-01,https://lobbyists.ag.gov.au/register
A&C Culture Group,PYNE AND PARTNERS PTY LTD,2024-03-20,https://lobbyists.ag.gov.au/register
A&C CULTURE Group,Hawker Britton Group Pty Ltd,2024-02-21,https://lobbyists.ag.gov.au/register
A. Menarini Australia Pty Ltd,TJ Health Comms,2023-07-06,https://lobbyists.ag.gov.au/register
AA Holdings Pty Ltd,RedBridge Group Pty Ltd,2022-09-13,https://lobbyists.ag.gov.au/register
Abbott,London Agency Pty Ltd,2019-03-18,https://lobbyists.ag.gov.au/register
ABBOTT MEDICAL AUSTRALIA PTY LTD.,Precision Public Affairs Pty Ltd,2024-02-07,https://lobbyists.ag.gov.au/register
AbbVie,Principle Advisory Pty Ltd,2024-03-15,https://lobbyists.ag.gov.au/register
AbbVie Australia,OGILVY HEALTH PTY LTD,2019-01-15,https://lobbyists.ag.gov.au/register
Abel Energy,A.GR Advisors Pty Ltd,2023-08-21,https://lobbyists.ag.gov.au/register
ABEL Energy,Bartholomew Quinn and Associates Pty Ltd,2023-02-02,https://lobbyists.ag.gov.au/register
Abey Australia Pty Ltd,John O'Connor and Associates Pty Ltd,2024-07-10,https://lobbyists.ag.gov.au/register
Ability First Australia,TSB Advisory Pty Ltd,2018-08-17,https://lobbyists.ag.gov.au/register
Ability First Australia,Lady & Professor Pty Ltd,2023-07-03,https://lobbyists.ag.gov.au/register
Ability8 Pty Ltd,Anacta Strategies Pty Ltd,2024-02-02,https://lobbyists.ag.gov.au/register
Aboriginal Biodiversity Conservation (ABC) Foundation,Hawker Britton Group Pty Ltd,2022-06-06,https://lobbyists.ag.gov.au/register
Aboriginal Legal Service (NSW/ACT) Limited,Essential Media Communications,2024-08-28,https://lobbyists.ag.gov.au/register
Accenture Australia Pty Ltd,CMAX Communications Pty Ltd,2023-10-16,https://lobbyists.ag.gov.au/register
Acciona,Richardson Coutts Pty Ltd,2023-01-27,https://lobbyists.ag.gov.au/register
Accolade Wines,SEC Newgate Pty Limited,2024-02-27,https://lobbyists.ag.gov.au/register
ACEN AUSTRALIA PTY LTD,Counsel House Pty Ltd,2024-05-21,https://lobbyists.ag.gov.au/register
ACFIN PTY LTD,SANLAAN PTY LTD,2024-10-29,https://lobbyists.ag.gov.au/register
Achieve Australia,Lady & Professor Pty Ltd,2022-04-04,https://lobbyists.ag.gov.au/register
ACOR CONSULTANTS PTY LTD,"PATON, ALEXANDER WILLIAM",2024-07-09,https://lobbyists.ag.gov.au/register
Acumentis Pty Ltd,National Advisory Pty Ltd,2021-05-21,https://lobbyists.ag.gov.au/register
Adams Aus Bidco Pty Ltd,Anacta Strategies Pty Ltd,2024-04-12,https://lobbyists.ag.gov.au/register
Adbri Limited,GRACosway Pty Ltd,2023-02-17,https://lobbyists.ag.gov.au/register
Adecco Australia,Making The World A Better Place Pty Ltd,2023-04-19,https://lobbyists.ag.gov.au/register
Adecco Australia Pty Ltd,Northstar Public Affairs Pty Ltd,2024-10-31,https://lobbyists.ag.gov.au/register
ADELAIDE FRINGE INC,Hawker Britton Group Pty Ltd,2023-12-04,https://lobbyists.ag.gov.au/register
Adjudicate Today,Megan Anwyl,2020-07-09,https://lobbyists.ag.gov.au/register
Adobe Systems Pty Ltd,Christmas Jalili Pty Ltd,2017-06-29,https://lobbyists.ag.gov.au/register
Advanced Algal Technologies Limited,Cornerstone Group Australia Pty Ltd,2014-02-19,https://lobbyists.ag.gov.au/register
Advanced Navigation Pty Ltd,Colbourne Advisory Pty Ltd,2024-01-11,https://lobbyists.ag.gov.au/register
Advanced New Technologies (Singapore) Holding Pte. Ltd.,GRACosway Pty Ltd,2024-09-06,https://lobbyists.ag.gov.au/register
Advertising Council Australia,The Trustee for Arthur Trust,2023-11-22,https://lobbyists.ag.gov.au/register
AEGIS9 Pty Ltd,Simplicity One Pty Ltd,2023-07-06,https://lobbyists.ag.gov.au/register
AEGIS9 Pty Ltd,BDAAS Consulting Pty Ltd,2022-11-29,https://lobbyists.ag.gov.au/register
Aegros,The Civic Partnership Pty Ltd,2023-05-01,https://lobbyists.ag.gov.au/register
Aeon Industrial Inc.,Capital Integrity Group Pty Ltd,2024-03-14,https://lobbyists.ag.gov.au/register
AERO DEFENCE PTY LTD,PYNE AND PARTNERS PTY LTD,2024-09-02,https://lobbyists.ag.gov.au/register
Afford – The Australian Foundation for Disability,Wilkinson Butler Pty Ltd,2022-03-15,https://lobbyists.ag.gov.au/register
Afterpay Australia Pty Ltd,Brockwell Strategy Pty Ltd,2024-04-09,https://lobbyists.ag.gov.au/register
Afterpay Pty Ltd,Jannette Cotterell,2022-02-02,https://lobbyists.ag.gov.au/register
Aged Care Justice,BusinessAide Pty Ltd,2023-07-11,https://lobbyists.ag.gov.au/register
Aged Care Reform Now,Hawkshaw Pty Ltd,2023-02-03,https://lobbyists.ag.gov.au/register
Aged Care Research & Industry Innovation Australia (ARIIA),Capetal Advisory Pty Ltd,2024-08-05,https://lobbyists.ag.gov.au/register
Aged Care Workforce Remote Accord,Delta Advisory Pty Limited,2024-10-02,https://lobbyists.ag.gov.au/register
Aged-care Legal Advocacy & Reform Matter (ALARM) Incorporated,BusinessAide Pty Ltd,2021-12-23,https://lobbyists.ag.gov.au/register
Agile Spray Response,Bruce Hawker Consulting Pty Ltd,2023-02-09,https://lobbyists.ag.gov.au/register
AGL Energy Hubs Pty Ltd,Mainline Communications Pty Ltd,2023-08-30,https://lobbyists.ag.gov.au/register
AGL ENERGY LIMITED,GRACosway Pty Ltd,2023-02-08,https://lobbyists.ag.gov.au/register
Agnico Eagle,Premier Strategy Pty Ltd,2022-02-14,https://lobbyists.ag.gov.au/register
Agrimin Limited,Corporate Affairs Australia Pty Ltd,2024-09-04,https://lobbyists.ag.gov.au/register
Agripower,Northstar Public Affairs Pty Ltd,2022-03-15,https://lobbyists.ag.gov.au/register
Agripower Australia Limited,Christmas Jalili Pty Ltd,2017-05-11,https://lobbyists.ag.gov.au/register
AgriProve Pty Ltd,ALPHA Consult Pty Ltd,2024-05-13,https://lobbyists.ag.gov.au/register
AgriQual Pty Ltd,GovTech Australia Pty Ltd,2024-01-09,https://lobbyists.ag.gov.au/register
AIA,Hawker Britton Group Pty Ltd,2022-02-04,https://lobbyists.ag.gov.au/register
AIA Australia,TG Public Affairs Pty Ltd,2024-08-02,https://lobbyists.ag.gov.au/register
AIR CONDITIONING AND REFRIGERATION EQUIPMENT MANUFACTURERS ASSOCIATION OF AUSTRALIA INCORPORATED,Global Issues Group,2014-07-17,https://lobbyists.ag.gov.au/register
Air Liquide,Milner Strategic Services,2024-02-07,https://lobbyists.ag.gov.au/register
Air Liquide Healthcare Pty Ltd,Hawker Britton Group Pty Ltd,2023-08-18,https://lobbyists.ag.gov.au/register
Air New Zealand,Diplomacy Pty Limited,2012-07-13,https://lobbyists.ag.gov.au/register
AIR PACIFIC LTD,EJF Advisory Pty Ltd,2024-07-23,https://lobbyists.ag.gov.au/register
Airbnb Australia Pty Ltd,Font Public Relations Pty Ltd,2020-04-21,https://lobbyists.ag.gov.au/register
Airport Bar and Cafe (Port Hedland),Coode Holdings Pty Ltd,2018-06-27,https://lobbyists.ag.gov.au/register
AirTrunk Operating Pty Ltd,Northstar Public Affairs Pty Ltd,2022-03-15,https://lobbyists.ag.gov.au/register
Airwallex,SEC Newgate Pty Limited,2023-02-17,https://lobbyists.ag.gov.au/register
Akuna Infrastructure Solutions Pty Ltd,Public Affairs and Campaigns Australia Pty Ltd,2019-08-16,https://lobbyists.ag.gov.au/register
Albert Group Services Pty Ltd,Baglin Street,2021-01-05,https://lobbyists.ag.gov.au/register
Alcoa of Australia Limited,Bondi Partners Advocacy Pty Ltd,2024-12-09,https://lobbyists.ag.gov.au/register
Alcoa of Australia Limited,GRA Partners Pty Ltd,2023-04-19,https://lobbyists.ag.gov.au/register
ALDI Stores,GRACosway Pty Ltd,2011-08-08,https://lobbyists.ag.gov.au/register
Aldridge ITS Pty Ltd,Northstar Public Affairs Pty Ltd,2024-06-26,https://lobbyists.ag.gov.au/register
ALFA (NT) LIMITED,PYNE AND PARTNERS PTY LTD,2023-12-08,https://lobbyists.ag.gov.au/register
Alinta Servco Pty Ltd,Cornerstone Group Australia Pty Ltd,2022-11-04,https://lobbyists.ag.gov.au/register
Alliance for Animals,Essential Media Communications,2024-02-27,https://lobbyists.ag.gov.au/register
Alliance for Journalists' Freedom,Wilkinson Butler Pty Ltd,2019-09-02,https://lobbyists.ag.gov.au/register
Alliance20,Essential Media Communications,2023-08-02,https://lobbyists.ag.gov.au/register
Alpha HPA,Rainmaker Strategic Planning Pty Ltd,2023-11-01,https://lobbyists.ag.gov.au/register
Alumina Limited,SEC Newgate Pty Limited,2023-09-06,https://lobbyists.ag.gov.au/register
AMAYDA,Bullyproof Australia Ltd,2023-05-18,https://lobbyists.ag.gov.au/register
Amazon,Hawker Britton Group Pty Ltd,2018-02-02,https://lobbyists.ag.gov.au/register
Amazon,SEC Newgate Pty Limited,2022-10-04,https://lobbyists.ag.gov.au/register
Amazon,Advisory Street,2024-02-01,https://lobbyists.ag.gov.au/register
Amazon Australia,TG Public Affairs Pty Ltd,2024-10-14,https://lobbyists.ag.gov.au/register
Amazon AWS Web Services Australia Pty Ltd,Sports Hydrant Pty Ltd,2023-02-15,https://lobbyists.ag.gov.au/register
Amazon Commercial Services Pty Ltd,Eloquium Group Pty Ltd,2022-11-04,https://lobbyists.ag.gov.au/register
Amazon Web Services,Spring Street Advisory Pty Ltd,2024-08-07,https://lobbyists.ag.gov.au/register
Amazon Web Services Limited,TG Public Affairs Pty Ltd,2023-04-27,https://lobbyists.ag.gov.au/register
American Express Australia Limited,SEC Newgate Pty Limited,2018-07-27,https://lobbyists.ag.gov.au/register
Amgen Australia,OGILVY HEALTH PTY LTD,2019-01-15,https://lobbyists.ag.gov.au/register
Amgen Australia Pty Ltd,Precision Public Affairs Pty Ltd,2023-07-07,https://lobbyists.ag.gov.au/register
AML Oceanographic,Seismic Asia Pacific Pty Ltd,2022-02-08,https://lobbyists.ag.gov.au/register
AMOVEO (Modular Manufacturer of Affordable Housing),Andrew Mihno,2018-10-12,https://lobbyists.ag.gov.au/register
AMP,Sports Hydrant Pty Ltd,2023-02-15,https://lobbyists.ag.gov.au/register
AMP Limited,Barton Deakin Pty Ltd,2014-02-25,https://lobbyists.ag.gov.au/register
AMP Limited,Hawker Britton Group Pty Ltd,2010-03-01,https://lobbyists.ag.gov.au/register
AMPD Energy,"PORTOLESI, GRAZIELLA",2024-09-16,https://lobbyists.ag.gov.au/register
AMPLIFY-NOW PTY LTD,Public Affairs and Campaigns Australia Pty Ltd,2022-07-18,https://lobbyists.ag.gov.au/register
AMPOL AUSTRALIA PETROLEUM PTY LTD,Northstar Public Affairs Pty Ltd,2022-03-15,https://lobbyists.ag.gov.au/register
Ampol Ltd,Sports Hydrant Pty Ltd,2023-02-15,https://lobbyists.ag.gov.au/register
Analytica,Media and Public Affairs Australia,2018-07-08,https://lobbyists.ag.gov.au/register
AND Health,CPR Communications & Public Relations Pty Ltd,2023-11-15,https://lobbyists.ag.gov.au/register
Anglican Community Services,Capitol Research Pty Ltd,2022-06-15,https://lobbyists.ag.gov.au/register
Angus Knight Group,GRA Partners Pty Ltd,2023-06-28,https://lobbyists.ag.gov.au/register
Angus Knight Pty Limited,BB Win Win Outcomes,2021-10-05,https://lobbyists.ag.gov.au/register
ANIMAL MEDICINES AUSTRALIA LIMITED,Counsel House Pty Ltd,2024-09-03,https://lobbyists.ag.gov.au/register
Anindilyakwa Land Council,Diplomacy Pty Limited,2011-10-21,https://lobbyists.ag.gov.au/register
Annalise-AI Pty Ltd,Kirchmann Management Consultants Pty Ltd,2022-10-07,https://lobbyists.ag.gov.au/register
ANNSCA Energy Pty Ltd,DPG Advisory Solutions,2020-08-19,https://lobbyists.ag.gov.au/register
ANNSCA Energy Pty Ltd,"SA Milgate and Associates, Pty, Ltd",2018-09-06,https://lobbyists.ag.gov.au/register
