Member,Party,Electorate,State,Years_in_office
Anthony Albanese(born 1963),Labor,Grayndler,NSW,1996–current
Anne Aly(born 1967),Labor,Cowan,WA,2016–current
Michelle Ananda-Rajah(born 1972),Labor,Higgins,Vic,2022–current
Karen Andrews(born 1960),Liberal National [a],McPherson,Qld,2010–current
Bridget Archer(born 1975),Liberal,Bass,Tas,2019–current
Adam Bandt(born 1972),Greens,Melbourne,Vic,2010–current
Stephen Bates(born 1992),Greens,Brisbane,Qld,2022–current
Angie Bell(born 1968),Liberal National [a],Moncrieff,Qld,2019–current
Jodie Belyea(born ?),Labor,Dunkley,Vic,2024–current
Sam Birrell(born ?),National,Nicholls,Vic,2022–current
Chris Bowen(born 1973),Labor,McMahon,NSW,2004–current
Colin Boyce(born 1962),Liberal National [b],Flynn,Qld,2022–current
Russell Broadbent(born 1950),Liberal / Independent [c],Monash,Vic,"
2004–current"
Scott Buchholz(born 1968),Liberal National [a],Wright,Qld,2010–current
Tony Burke(born 1969),Labor,Watson,NSW,2004–current
Matt Burnell(born 1978),Labor,Spence,SA,2022–current
Linda Burney(born 1957),Labor,Barton,NSW,2016–current
Josh Burns(born 1987),Labor,Macnamara,Vic,2019–current
Mark Butler(born 1970),Labor,Hindmarsh,SA,2007–current
Alison Byrnes(born ?),Labor,Cunningham,NSW,2022–current
Cameron Caldwell [d](born ?),Liberal National [a],Fadden,Qld,2023–current
Jim Chalmers(born 1978),Labor,Rankin,Qld,2013–current
Max Chandler-Mather(born 1992),Greens,Griffith,Qld,2022–current
Kate Chaney(born 1975),Independent,Curtin,WA,2022–current
Andrew Charlton(born 1978),Labor,Parramatta,NSW,2022–current
Darren Chester(born 1967),National,Gippsland,Vic,2008–current
Lisa Chesters(born 1980),Labor,Bendigo,Vic,2013–current
Jason Clare(born 1972),Labor,Blaxland,NSW,2007–current
Sharon Claydon(born 1964),Labor,Newcastle,NSW,2013–current
Libby Coker(born 1962),Labor,Corangamite,Vic,2019–current
David Coleman(born 1974),Liberal,Banks,NSW,2013–current
Julie Collins(born 1971),Labor,Franklin,Tas,2007–current
Pat Conaghan(born 1971),National,Cowper,NSW,2019–current
Pat Conroy(born 1979),Labor,Shortland,NSW,2013–current
Mark Coulton(born 1958),National,Parkes,NSW,2007–current
Zoe Daniel(born 1972),Independent,Goldstein,Vic,2022–current
Milton Dick(born 1972),Labor,Oxley,Qld,2016–current
Mary Doyle[e](born 1970),Labor,Aston,Vic,2023–current
Mark Dreyfus(born 1956),Labor,Isaacs,Vic,2007–current
Peter Dutton(born 1970),Liberal National [a],Dickson,Qld,2001–current
Justine Elliot(born 1967),Labor,Richmond,NSW,2004–current
Warren Entsch(born 1950),Liberal National [a],Leichhardt,Qld,"
2010–current"
Cassandra Fernando(born 1987),Labor,Holt,Vic,2022–current
Paul Fletcher(born 1965),Liberal,Bradfield,NSW,2009–current
Mike Freelander(born 1953),Labor,Macarthur,NSW,2016–current
Carina Garland(born ?),Labor,Chisholm,Vic,2022–current
Andrew Gee(born 1968),National / Independent [f],Calare,NSW,2016–current
Steve Georganas(born 1959),Labor,Adelaide,SA,"
2016–current"
Andrew Giles(born 1973),Labor,Scullin,Vic,2013–current
David Gillespie(born 1957),National,Lyne,NSW,2013–current
Ian Goodenough(born 1975),Liberal,Moore,WA,2013–current
Patrick Gorman(born 1984),Labor,Perth,WA,2018–current
Luke Gosling(born 1971),Labor,Solomon,NT,2016–current
Helen Haines(born 1961),Independent,Indi,Vic,2019–current
Garth Hamilton (born 1979),Liberal National [a],Groom,Qld,2020–current
Andrew Hastie(born 1982),Liberal,Canning,WA,2015–current
Alex Hawke(born 1977),Liberal,Mitchell,NSW,2007–current
Julian Hill(born 1973),Labor,Bruce,Vic,2016–current
Kevin Hogan(born 1963),National,Page,NSW,2013–current
Luke Howarth(born 1972),Liberal National [a],Petrie,Qld,2013–current
Ed Husic(born 1970),Labor,Chifley,NSW,2010–current
