Member,Party,Electorate,State,Years_in_office
Anthony Albanese,Labor,Grayndler,NSW,1996–present
John Alexander,Liberal,Bennelong,NSW,2010–2022
Katie Allen,Liberal,Higgins,Vic,2019–2022
Anne Aly,Labor,Cowan,WA,2016–present
Karen Andrews,Liberal National [f],McPherson,Qld,2010–present
Kevin Andrews,Liberal,Menzies,Vic,1991–2022
Bridget Archer,Liberal,Bass,Tas,2019–present
Adam Bandt,Greens,Melbourne,Vic,2010–present
Angie Bell,Liberal National [f],Moncrieff,Qld,2019–present
Sharon Bird,Labor,Cunningham,NSW,2004–2022
Chris Bowen,Labor,McMahon,NSW,2004–present
Russell Broadbent,Liberal,Monash,Vic,2004–present
Scott Buchholz,Liberal National [f],Wright,Qld,2010–present
Tony Burke,Labor,Watson,NSW,2004–present
Linda Burney,Labor,Barton,NSW,2016–present
Josh Burns,Labor,Macnamara,Vic,2019–present
Mark Butler,Labor,Hindmarsh,SA,2007–present
Terri Butler,Labor,Griffith,Qld,2014–2022
Anthony Byrne,Labor,Holt,Vic,1999–2022
Jim Chalmers,Labor,Rankin,Qld,2013–present
Nick Champion,Labor,Spence,SA,2007–2022
Darren Chester,National,Gippsland,Vic,2008–present
Lisa Chesters,Labor,Bendigo,Vic,2013–present
George Christensen [d],Liberal National [g]/Independent,Dawson,Qld,2010–2022
Jason Clare,Labor,Blaxland,NSW,2007–present
Sharon Claydon,Labor,Newcastle,NSW,2013–present
Libby Coker,Labor,Corangamite,Vic,2019–present
David Coleman,Liberal,Banks,NSW,2013–present
Julie Collins,Labor,Franklin,Tas,2007–present
Pat Conaghan,National,Cowper,NSW,2019–present
Vince Connelly,Liberal,Stirling,WA,2019–present
Pat Conroy,Labor,Shortland,NSW,2013–present
Mark Coulton,National,Parkes,NSW,2007–present
Milton Dick,Labor,Oxley,Qld,2016–present
Mark Dreyfus,Labor,Isaacs,Vic,2007–present
Damian Drum,National,Nicholls,Vic,2016–2022
Peter Dutton,Liberal National [f],Dickson,Qld,2001–present
Justine Elliot,Labor,Richmond,NSW,2004–present
Warren Entsch,Liberal National [f],Leichhardt,Qld,2010–present
Trevor Evans,Liberal National [f],Brisbane,Qld,2016–present
Jason Falinski,Liberal,Mackellar,NSW,2016–2022
Joel Fitzgibbon,Labor,Hunter,NSW,1996–2022
Paul Fletcher,Liberal,Bradfield,NSW,2009–present
Nicolle Flint,Liberal,Boothby,SA,2016–2022
Mike Freelander,Labor,Macarthur,NSW,2016–present
Josh Frydenberg,Liberal,Kooyong,Vic,2010–2022
Andrew Gee,National,Calare,NSW,2016–present
Steve Georganas,Labor,Adelaide,SA,2016–present
Andrew Giles,Labor,Scullin,Vic,2013–present
David Gillespie,National,Lyne,NSW,2013–present
Ian Goodenough,Liberal,Moore,WA,2013–present
Patrick Gorman,Labor,Perth,WA,2018–present
Luke Gosling,Labor,Solomon,NT,2016–present
Helen Haines,Independent,Indi,Vic,2019–present
Garth Hamilton [b],Liberal National [f],Groom,Qld,2020–present
Celia Hammond,Liberal,Curtin,WA,2019–2022
Andrew Hastie,Liberal,Canning,WA,2015–present
Alex Hawke,Liberal,Mitchell,NSW,2007–present
Chris Hayes,Labor,Fowler,NSW,2005–2022
Julian Hill,Labor,Bruce,Vic,2016–present
Kevin Hogan,National,Page,NSW,2013–present
Luke Howarth,Liberal National [f],Petrie,Qld,2013–present
Greg Hunt,Liberal,Flinders,Vic,2001–2022
Ed Husic,Labor,Chifley,NSW,2010–present
Steve Irons,Liberal,Swan,WA,2007–2022
Stephen Jones,Labor,Whitlam,NSW,2010–present
Barnaby Joyce,National,New England,NSW,2013–present
Bob Katter,Katter's Australian,Kennedy,Qld,1993–present
Ged Kearney,Labor,Cooper,Vic,2018–present
Craig Kelly [c],Liberal,Hughes,NSW,2010–2022
Mike Kelly [a],Labor,Eden-Monaro,NSW,2016–2020
Matt Keogh,Labor,Burt,WA,2016–present
Peter Khalil,Labor,Wills,Vic,2016–present
Catherine King,Labor,Ballarat,Vic,2001–present
Madeleine King,Labor,Brand,WA,2016–present
Andrew Laming,Liberal National [f],Bowman,Qld,2004–2022
Michelle Landry,Liberal National [g],Capricornia,Qld,2013–present
Julian Leeser,Liberal,Berowra,NSW,2016–present
Andrew Leigh,Labor,Fenner,ACT,2010–present
Sussan Ley,Liberal,Farrer,NSW,2001–present
David Littleproud,Liberal National [g],Maranoa,Qld,2016–present
Gladys Liu,Liberal,Chisholm,Vic,2019–2022
Nola Marino,Liberal,Forrest,WA,2007–present
Richard Marles,Labor,Corio,Vic,2007–present
Fiona Martin,Liberal,Reid,NSW,2019–2022
Kristy McBain [a],Labor,Eden-Monaro,NSW,2020–present
Emma McBride,Labor,Dobell,NSW,2016–present
Michael McCormack,National,Riverina,NSW,2010–present
Melissa McIntosh,Liberal,Lindsay,NSW,2019–present
John McVeigh [b],Liberal National [f],Groom,Qld,2016–2020
Brian Mitchell,Labor,Lyons,Tas,2016–present
Rob Mitchell,Labor,McEwen,Vic,2010–present
Scott Morrison,Liberal,Cook,NSW,2007–present
Ben Morton,Liberal,Tangney,WA,2016–2022
Daniel Mulino,Labor,Fraser,Vic,2019–present
Peta Murphy,Labor,Dunkley,Vic,2019–present
Shayne Neumann,Labor,Blair,Qld,2007–present
Llew O'Brien,Liberal National [h],Wide Bay,Qld,2016–present
Ted O'Brien,Liberal National [f],Fairfax,Qld,2016–present
Brendan O'Connor,Labor,Gorton,Vic,2001–present
Ken O'Dowd,Liberal National [g],Flynn,Qld,2010–2022
Clare O'Neil,Labor,Hotham,Vic,2013–present
Julie Owens,Labor,Parramatta,NSW,2004–2022
Tony Pasin,Liberal,Barker,SA,2013–present
Alicia Payne,Labor,Canberra,ACT,2019–present
Gavin Pearce,Liberal,Braddon,Tas,2019–present
Graham Perrett,Labor,Moreton,Qld,2007–present
Fiona Phillips,Labor,Gilmore,NSW,2019–present
Keith Pitt,Liberal National [g],Hinkler,Qld,2013–present
Tanya Plibersek,Labor,Sydney,NSW,1998–present
Christian Porter,Liberal,Pearce,WA,2013–2022
Melissa Price,Liberal,Durack,WA,2013–present
Rowan Ramsey,Liberal,Grey,SA,2007–present
Amanda Rishworth,Labor,Kingston,SA,2007–present
Stuart Robert,Liberal National [f],Fadden,Qld,2007–2023
Michelle Rowland,Labor,Greenway,NSW,2010–present
Joanne Ryan,Labor,Lalor,Vic,2013–present
Rebekha Sharkie,Centre Alliance,Mayo,SA,2016–present
Dave Sharma,Liberal,Wentworth,NSW,2019–2022
Bill Shorten,Labor,Maribyrnong,Vic,2007–present
Julian Simmonds,Liberal National [f],Ryan,Qld,2019–2022
David Smith,Labor,Bean,ACT,2019–present
Tony Smith,Liberal,Casey,Vic,2001–2022
Warren Snowdon,Labor,Lingiari,NT,"
1998–2022"
Anne Stanley,Labor,Werriwa,NSW,2016–present
Zali Steggall,Independent,Warringah,NSW,2019–present
James Stevens,Liberal,Sturt,SA,2019–present
Michael Sukkar,Liberal,Deakin,Vic,2013–present
Meryl Swanson,Labor,Paterson,NSW,2016–present
Angus Taylor,Liberal,Hume,NSW,2013–present
Dan Tehan,Liberal,Wannon,Vic,2010–present
Susan Templeman,Labor,Macquarie,NSW,2016–present
Matt Thistlethwaite,Labor,Kingsford Smith,NSW,2013–present
Phillip Thompson,Liberal National [f],Herbert,Qld,2019–present
Kate Thwaites,Labor,Jagajaga,Vic,2019–present
Alan Tudge,Liberal,Aston,Vic,2010–2023
Maria Vamvakinou,Labor,Calwell,Vic,2001–present
Bert van Manen,Liberal National [f],Forde,Qld,2010–present
Ross Vasta,Liberal National [f],Bonner,Qld,2010–present
Andrew Wallace,Liberal National [f],Fisher,Qld,2016–present
Tim Watts,Labor,Gellibrand,Vic,2013–present
Anne Webster,National,Mallee,Vic,2019–present
Anika Wells,Labor,Lilley,Qld,2019–present
Lucy Wicks,Liberal,Robertson,NSW,2013–2022
Andrew Wilkie,Independent,Clark,Tas,2010–present
Josh Wilson,Labor,Fremantle,WA,2016–present
Rick Wilson,Liberal,O'Connor,WA,2013–present
Tim Wilson,Liberal,Goldstein,Vic,2016–2022
Jason Wood,Liberal,La Trobe,Vic,2013–present
Ken Wyatt,Liberal,Hasluck,WA,2010–2022
Terry Young,Liberal National [f],Longman,Qld,2019–present
Tony Zappia,Labor,Makin,SA,2007–present
Trent Zimmerman,Liberal,North Sydney,NSW,2015–2022
