Member,Party,Electorate,State,Years_in_office
Eric Abetz,Liberal,Tasmania,Tasmania,1994–2022
Fraser Anning [l],One Nation,Queensland,Queensland,2017–2019
Wendy Askew [z],Liberal,Tasmania,Tasmania,2019–present
Chris Back [k],Liberal,Western Australia,Western Australia,2009–2017
Andrew Bartlett [l][y],Greens,Queensland,Queensland,2017–2018
Cory Bernardi,Liberal,South Australia,South Australia,2006–2020
Catryna Bilyk,Labor,Tasmania,Tasmania,2008–present
Simon Birmingham,Liberal,South Australia,South Australia,2007–present
George Brandis [t],Liberal National [ae],Queensland,Queensland,2000–2018
Slade Brockman [k],Liberal,Western Australia,Western Australia,2017–present
Carol Brown,Labor,Tasmania,Tasmania,2005–present
Brian Burston,One Nation,New South Wales,New South Wales,2016–2019
David Bushby [z],Liberal,Tasmania,Tasmania,2007–2019
Doug Cameron,Labor,New South Wales,New South Wales,2008–2019
Matt Canavan,Liberal National [af],Queensland,Queensland,2014–present
Kim Carr,Labor,Victoria,Victoria,1993–2022
Michaelia Cash,Liberal,Western Australia,Western Australia,2008–present
Anthony Chisholm,Labor,Queensland,Queensland,2016–present
Raff Ciccone [aa],Labor,Victoria,Victoria,2019–present
Richard Colbeck [n],Liberal,Tasmania,Tasmania,2018–present
Jacinta Collins [aa],Labor,Victoria,Victoria,2008–2019
Stephen Conroy [c],Labor,Victoria,Victoria,1996–2016
Mathias Cormann,Liberal,Western Australia,Western Australia,2007–2020
Rod Culleton [f],One Nation,Western Australia,Western Australia,2016–2017
Sam Dastyari [r],Labor,New South Wales,New South Wales,2013–2018
Bob Day [d],Family First,South Australia,South Australia,2014–2016
Richard Di Natale,Greens,Victoria,Victoria,2011–2020
Pat Dodson,Labor,Western Australia,Western Australia,2016–2024
Jonathon Duniam,Liberal,Tasmania,Tasmania,2016–present
Don Farrell,Labor,South Australia,South Australia,2016–present
Mehreen Faruqi [x],Greens,New South Wales,New South Wales,2018–present
David Fawcett,Liberal,South Australia,South Australia,2011–present
Concetta Fierravanti-Wells,Liberal,New South Wales,New South Wales,2005–2022
Mitch Fifield,Liberal,Victoria,Victoria,2004–2019
Alex Gallacher,Labor,South Australia,South Australia,2011–2021
Katy Gallagher [u],Labor,Australian Capital Territory,Australian Capital Territory,2019–present
Peter Georgiou [f],One Nation,Western Australia,Western Australia,2017–2019
Lucy Gichuhi [d],Family First,South Australia,South Australia,2017–2019
Stirling Griff,Centre Alliance,South Australia,South Australia,2016–2022
Pauline Hanson,One Nation,Queensland,Queensland,2016–present
Sarah Hanson-Young,Greens,South Australia,South Australia,2008–present
Derryn Hinch,Justice,Victoria,Victoria,2016–2019
Jane Hume,Liberal,Victoria,Victoria,2016–present
Skye Kakoschke-Moore [q],Xenophon,South Australia,South Australia,2016–2017
Kristina Keneally [r],Labor,New South Wales,New South Wales,2018–2022
Chris Ketter,Labor,Queensland,Queensland,2014–2019
Kimberley Kitching [c],Labor,Victoria,Victoria,2016–2022
Jacqui Lambie[p],Lambie,Tasmania,Tasmania,2019–present
David Leyonhjelm [ab],Liberal Democrats,New South Wales,New South Wales,2014–2019
Sue Lines,Labor,Western Australia,Western Australia,2013–present
Scott Ludlam [i][l],Greens,Western Australia,Western Australia,2008–2017
Ian Macdonald (Liberal Senator for QLD),Liberal National [ae],Queensland,Queensland,1990–2019
Gavin Marshall,Labor,Victoria,Victoria,2002–2019
"Steve Martin ,[p][v]",National,Tasmania,Tasmania,2018–2019
Jenny McAllister,Labor,New South Wales,New South Wales,2015–present
Malarndirri McCarthy,Labor,Northern Territory,Northern Territory,2016–present
James McGrath,Liberal National [ae],Queensland,Queensland,2014–present
Bridget McKenzie,National,Victoria,Victoria,2011–present
Nick McKim,Greens,Tasmania,Tasmania,2015–present
Jim Molan [l],Liberal,New South Wales,New South Wales,2019-2023
Claire Moore,Labor,Queensland,Queensland,2002–2019
Fiona Nash [l],National,New South Wales,New South Wales,2005–2017
Deborah O'Neill,Labor,New South Wales,New South Wales,2013–present
Barry O'Sullivan,Liberal National [af],Queensland,Queensland,2014–2019
Stephen Parry [n],Liberal,Tasmania,Tasmania,2005–2017
James Paterson,Liberal,Victoria,Victoria,2016–present
Rex Patrick [m],Centre Alliance,South Australia,South Australia,2017–2022
Marise Payne,Liberal,New South Wales,New South Wales,1997–2023
Helen Polley,Labor,Tasmania,Tasmania,2005–present
Louise Pratt,Labor,Western Australia,Western Australia,2016–present
Linda Reynolds,Liberal,Western Australia,Western Australia,2014–present
Lee Rhiannon [x],Greens,New South Wales,New South Wales,2011–2018
Janet Rice,Greens,Victoria,Victoria,2014–present
Malcolm Roberts [l],One Nation,Queensland,Queensland,2019–present
Anne Ruston,Liberal,South Australia,South Australia,2012–present
Scott Ryan,Liberal,Victoria,Victoria,2008–2021
Nigel Scullion,Country Liberal [af],Northern Territory,Northern Territory,2001–2019
Zed Seselja,Liberal,Australian Capital Territory,Australian Capital Territory,2013–2022
Rachel Siewert,Greens,Western Australia,Western Australia,2005–2021
Lisa Singh,Labor,Tasmania,Tasmania,2011–2019
Arthur Sinodinos,Liberal,New South Wales,New South Wales,2011–2019
David Smith [u] [ac],Labor,Australian Capital Territory,Australian Capital Territory,2018–2019
Dean Smith,Liberal,Western Australia,Western Australia,2012–present
Duncan Spender [ab],Liberal Democrats,New South Wales,New South Wales,2019-2019
Jordon Steele-John [l],Greens,Western Australia,Western Australia,2017–present
Glenn Sterle,Labor,Western Australia,Western Australia,2005–present
Amanda Stoker [t],Liberal National [ae],Queensland,Queensland,2018–2022
Tim Storer [q],Independent,South Australia,South Australia,2018–2019
Anne Urquhart,Labor,Tasmania,Tasmania,2011–present
Larissa Waters [j][l][y],Greens,Queensland,Queensland,2018–present
Murray Watt,Labor,Queensland,Queensland,2016–present
Peter Whish-Wilson,Greens,Tasmania,Tasmania,2012–present
John Williams,National,New South Wales,New South Wales,2008–2019
Penny Wong,Labor,South Australia,South Australia,2002–present
Nick Xenophon [m],Xenophon,South Australia,South Australia,2008–2017
