name,party,electorate,state,start_date,end_date
Penny Allman-Payne,Greens Federal,Queensland,QUEENSLAND,2022-05-22,""
Alex Antic,Liberal Federal,South Australia,SOUTH AUSTRALIA,2019-05-18,""
Wendy Askew,Liberal Federal,Tasmania,TASMANIA,2019-05-18,""
Tim Ayres,Labor Federal,New South Wales,NEW SOUTH WALES,2019-05-18,""
Ralph Babet,United Australia Federal,Victoria,VICTORIA,2022-05-22,""
Catryna Bilyk,Labor Federal,Tasmania,TASMANIA,2008-01-01,""
Simon Birmingham,Liberal Federal,South Australia,SOUTH AUSTRALIA,2007-11-24,""
Andrew Bragg,Liberal Federal,New South Wales,NEW SOUTH WALES,2019-05-18,""
Slade Brockman,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2017-01-01,""
Carol Brown,Labor Federal,Tasmania,TASMANIA,2005-01-01,""
Ross Cadell,National Federal,New South Wales,NEW SOUTH WALES,2022-05-22,""
Matt Canavan,Liberal National Federal,Queensland,QUEENSLAND,2014-01-01,""
Michaelia Cash,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2008-01-01,""
Claire Chandler,Liberal Federal,Tasmania,TASMANIA,2019-05-18,""
Anthony Chisholm,Labor Federal,Queensland,QUEENSLAND,2016-07-02,""
Raff Ciccone,Labor Federal,Victoria,VICTORIA,2019-05-18,""
Richard Colbeck,Liberal Federal,Tasmania,TASMANIA,2018-01-01,""
Dorinda Cox,Greens Federal,Western Australia,WESTERN AUSTRALIA,2021-01-01,""
Perin Davey,National Federal,New South Wales,NEW SOUTH WALES,2019-05-18,""
Pat Dodson,Labor Federal,Western Australia,WESTERN AUSTRALIA,2016-07-02,2024-01-01
Jonathon Duniam,Liberal Federal,Tasmania,TASMANIA,2016-07-02,""
Don Farrell,Labor Federal,South Australia,SOUTH AUSTRALIA,2016-07-02,""
Mehreen Faruqi,Greens Federal,New South Wales,NEW SOUTH WALES,2018-01-01,""
David Fawcett,Liberal Federal,South Australia,SOUTH AUSTRALIA,2011-01-01,""
Katy Gallagher,Labor Federal,Australian Capital Territory,AUSTRALIAN CAPITAL TERRITORY,2019-05-18,""
Varun Ghosh,Labor Federal,Western Australia,WESTERN AUSTRALIA,2024-01-01,""
Nita Green,Labor Federal,Queensland,QUEENSLAND,2019-05-18,""
Karen Grogan,Labor Federal,South Australia,SOUTH AUSTRALIA,2021-01-01,""
Pauline Hanson,One Nation Federal,Queensland,QUEENSLAND,2016-07-02,""
