name,party,electorate,state,start_date,end_date
Tony Abbott,Liberal Federal,Warringah,NSW,1994-01-01,2019-05-18
Anthony Albanese,Labor Federal,Grayndler,NSW,1996-03-02,""
Anne Aly,Labor Federal,Cowan,WA,2016-07-02,""
Karen Andrews,Liberal National Federal,McPherson,QLD,2010-08-21,""
Kevin Andrews,Liberal Federal,Menzies,VIC,1991-01-01,2022-05-22
Adam Bandt,Greens Federal,Melbourne,VIC,2010-08-21,""
Julia Banks,Liberal/Independent Federal,Chisholm,VIC,2016-07-02,2019-05-18
Sharon Bird,Labor Federal,Cunningham,NSW,2004-10-09,2022-05-22
Julie Bishop,Liberal Federal,Curtin,WA,1998-10-03,2019-05-18
Chris Bowen,Labor Federal,McMahon,NSW,2004-10-09,""
Andrew Broad,National Federal,Mallee,VIC,2013-09-07,2019-05-18
Gai Brodtmann,Labor Federal,Canberra,ACT,2010-08-21,2019-05-18
Scott Buchholz,Liberal National Federal,Wright,QLD,2010-08-21,""
Tony Burke,Labor Federal,Watson,NSW,2004-10-09,""
Linda Burney,Labor Federal,Barton,NSW,2016-07-02,""
Mark Butler,Labor Federal,Port Adelaide,SA,2007-11-24,""
Terri Butler,Labor Federal,Griffith,QLD,2014-01-01,2022-05-22
Anthony Byrne,Labor Federal,Holt,VIC,1999-01-01,2022-05-22
Jim Chalmers,Labor Federal,Rankin,QLD,2013-09-07,""
Nick Champion,Labor Federal,Wakefield,SA,2007-11-24,2022-05-22
Darren Chester,National Federal,Gippsland,VIC,2008-01-01,""
Lisa Chesters,Labor Federal,Bendigo,VIC,2013-09-07,""
George Christensen,Liberal National Federal,Dawson,QLD,2010-08-21,2022-05-22
Steven Ciobo,Liberal National Federal,Moncrieff,QLD,2001-11-10,2019-05-18
Jason Clare,Labor Federal,Blaxland,NSW,2007-11-24,""
Sharon Claydon,Labor Federal,Newcastle,NSW,2013-09-07,""
David Coleman,Liberal Federal,Banks,NSW,2013-09-07,""
Julie Collins,Labor Federal,Franklin,TAS,2007-11-24,""
Pat Conroy,Labor Federal,Shortland,NSW,2013-09-07,""
Mark Coulton,National Federal,Parkes,NSW,2007-11-24,""
Chris Crewther,Liberal Federal,Dunkley,VIC,2016-07-02,2019-05-18
Michael Danby,Labor Federal,Melbourne Ports,VIC,1998-10-03,2019-05-18
Milton Dick,Labor Federal,Oxley,QLD,2016-07-02,""
Mark Dreyfus,Labor Federal,Isaacs,VIC,2007-11-24,""
Damian Drum,National Federal,Murray,VIC,2016-07-02,2022-05-22
Peter Dutton,Liberal National Federal,Dickson,QLD,2001-11-10,""
Justine Elliot,Labor Federal,Richmond,NSW,2004-10-09,""
Kate Ellis,Labor Federal,Adelaide,SA,2004-10-09,2019-05-18
Warren Entsch,Liberal National Federal,Leichhardt,QLD,1996-03-02,""
Trevor Evans,Liberal National Federal,Brisbane,QLD,2016-07-02,""
Jason Falinski,Liberal Federal,Mackellar,NSW,2016-07-02,2022-05-22
David Feeney,Labor Federal,Batman,VIC,2013-09-07,2018-01-01
Joel Fitzgibbon,Labor Federal,Hunter,NSW,1996-03-02,2022-05-22
Paul Fletcher,Liberal Federal,Bradfield,NSW,2009-01-01,""
Nicolle Flint,Liberal Federal,Boothby,SA,2016-07-02,2022-05-22
Mike Freelander,Labor Federal,Macarthur,NSW,2016-07-02,""
Josh Frydenberg,Liberal Federal,Kooyong,VIC,2010-08-21,2022-05-22
Andrew Gee,National Federal,Calare,NSW,2016-07-02,""
Andrew Giles,Labor Federal,Scullin,VIC,2013-09-07,""
David Gillespie,National Federal,Lyne,NSW,2013-09-07,""
