name,party,electorate,state,start_date,end_date
Eric Abetz,Liberal Federal,Tasmania,TASMANIA,1994-01-01,2022-05-22
Fraser Anning,One Nation Federal,Queensland,QUEENSLAND,2017-01-01,2019-05-18
Wendy Askew,Liberal Federal,Tasmania,TASMANIA,2019-05-18,""
Chris Back,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2009-01-01,2017-01-01
Andrew Bartlett,Greens Federal,Queensland,QUEENSLAND,2017-01-01,2018-01-01
Cory Bernardi,Liberal Federal,South Australia,SOUTH AUSTRALIA,2006-01-01,2020-01-01
Catryna Bilyk,Labor Federal,Tasmania,TASMANIA,2008-01-01,""
Simon Birmingham,Liberal Federal,South Australia,SOUTH AUSTRALIA,2007-11-24,""
George Brandis,Liberal National Federal,Queensland,QUEENSLAND,2000-01-01,2018-01-01
Slade Brockman,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2017-01-01,""
Carol Brown,Labor Federal,Tasmania,TASMANIA,2005-01-01,""
Brian Burston,One Nation Federal,New South Wales,NEW SOUTH WALES,2016-07-02,2019-05-18
David Bushby,Liberal Federal,Tasmania,TASMANIA,2007-11-24,2019-05-18
Doug Cameron,Labor Federal,New South Wales,NEW SOUTH WALES,2008-01-01,2019-05-18
Matt Canavan,Liberal National Federal,Queensland,QUEENSLAND,2014-01-01,""
Kim Carr,Labor Federal,Victoria,VICTORIA,1993-03-13,2022-05-22
Michaelia Cash,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2008-01-01,""
Anthony Chisholm,Labor Federal,Queensland,QUEENSLAND,2016-07-02,""
Raff Ciccone,Labor Federal,Victoria,VICTORIA,2019-05-18,""
Richard Colbeck,Liberal Federal,Tasmania,TASMANIA,2018-01-01,""
Jacinta Collins,Labor Federal,Victoria,VICTORIA,2008-01-01,2019-05-18
Stephen Conroy,Labor Federal,Victoria,VICTORIA,1996-03-02,2016-07-02
Mathias Cormann,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2007-11-24,2020-01-01
Rod Culleton,One Nation Federal,Western Australia,WESTERN AUSTRALIA,2016-07-02,2017-01-01
Sam Dastyari,Labor Federal,New South Wales,NEW SOUTH WALES,2013-09-07,2018-01-01
Bob Day,Family First Federal,South Australia,SOUTH AUSTRALIA,2014-01-01,2016-07-02
Richard Di Natale,Greens Federal,Victoria,VICTORIA,2011-01-01,2020-01-01
Pat Dodson,Labor Federal,Western Australia,WESTERN AUSTRALIA,2016-07-02,2024-01-01
Jonathon Duniam,Liberal Federal,Tasmania,TASMANIA,2016-07-02,""
Don Farrell,Labor Federal,South Australia,SOUTH AUSTRALIA,2016-07-02,""
